gene,bin,relative_start_percent,relative_end_percent,cds_start,cds_end,n_variants,benign_count,benign_percent,vus_count,vus_percent,pathogenic_count,pathogenic_percent,high_spliceai_count,high_spliceai_percent,initiation_codon_percent,missense_percent,nonsense_percent,synonymous_percent
BRCA2,96,79.17,80.00,8121,8205,255,10,3.92,232,90.98,13,5.10,1,0.39,0.00,73.73,4.31,21.96
BRCA2,97,80.00,80.83,8206,8291,258,13,5.04,235,91.09,10,3.88,1,0.39,0.00,68.99,3.88,27.13
BRCA2,98,80.83,81.67,8292,8376,255,15,5.88,228,89.41,12,4.71,10,3.92,0.00,71.37,4.71,23.92
BRCA2,99,81.67,82.50,8377,8462,258,15,5.81,234,90.70,9,3.49,20,7.75,0.00,71.32,3.49,25.19
BRCA2,100,82.50,83.33,8463,8547,255,10,3.92,220,86.27,25,9.80,8,3.14,0.00,72.94,9.02,18.04
BRCA2,101,83.33,84.17,8548,8632,255,11,4.31,225,88.24,19,7.45,6,2.35,0.00,74.51,7.45,18.04
BRCA2,102,84.17,85.00,8633,8718,258,9,3.49,233,90.31,16,6.20,7,2.71,0.00,69.38,6.20,24.42
BRCA2,103,85.00,85.83,8719,8803,255,7,2.75,234,91.76,14,5.49,19,7.45,0.00,74.90,5.49,19.61
BRCA2,104,85.83,86.67,8804,8889,258,10,3.88,229,88.76,19,7.36,1,0.39,0.00,74.81,7.36,17.83
BRCA2,105,86.67,87.50,8890,8974,255,9,3.53,230,90.20,16,6.27,10,3.92,0.00,72.94,6.27,20.78
BRCA2,106,87.50,88.33,8975,9060,258,8,3.10,224,86.82,26,10.08,81,31.40,0.00,66.67,9.69,23.64
BRCA2,107,88.33,89.17,9061,9145,255,2,0.78,235,92.16,18,7.06,74,29.02,0.00,72.55,6.67,20.78
BRCA2,108,89.17,90.00,9146,9231,258,14,5.43,233,90.31,11,4.26,1,0.39,0.00,74.42,4.26,21.32
BRCA2,109,90.00,90.83,9232,9316,255,11,4.31,226,88.63,18,7.06,2,0.78,0.00,70.20,6.27,23.53
BRCA2,110,90.83,91.67,9317,9402,258,11,4.26,233,90.31,14,5.43,0,0.00,0.00,74.81,5.04,20.16
BRCA2,111,91.67,92.50,9403,9487,255,8,3.14,238,93.33,9,3.53,1,0.39,0.00,76.08,3.53,20.39
BRCA2,112,92.50,93.33,9488,9573,258,50,19.38,200,77.52,8,3.10,7,2.71,0.00,78.68,3.10,18.22
BRCA2,113,93.33,94.17,9574,9658,255,237,92.94,9,3.53,9,3.53,4,1.57,0.00,70.59,3.53,25.88
BRCA2,114,94.17,95.00,9659,9744,258,146,56.59,95,36.82,17,6.59,45,17.44,0.00,71.71,6.59,21.71
BRCA2,115,95.00,95.83,9745,9829,255,237,92.94,0,0.00,18,7.06,0,0.00,0.00,75.29,7.06,17.65
BRCA2,116,95.83,96.67,9830,9915,258,245,94.96,6,2.33,7,2.71,5,1.94,0.00,71.71,2.71,25.58
BRCA2,117,96.67,97.50,9916,10000,255,243,95.29,9,3.53,3,1.18,0,0.00,0.00,74.90,5.10,20.00
BRCA2,118,97.50,98.33,10001,10086,258,215,83.33,43,16.67,0,0.00,18,6.98,0.00,72.48,5.43,22.09
BRCA2,119,98.33,99.17,10087,10171,255,238,93.33,17,6.67,0,0.00,2,0.78,0.00,69.41,3.92,26.67
BRCA2,120,99.17,100.00,10172,10257,255,237,92.94,18,7.06,0,0.00,0,0.00,0.00,76.08,6.27,17.65
